title,均价,总价,面积,地址,户型,area,朝向,装修,楼层,建造时间,建筑材料
汉街精装叁房，号楼层，采光足，总价低，业主诚售,24343,185,7.6E+01,中北领寓 ,2室1厅 ," 76平米 "," 东北 "," 精装 "," 中楼层(共25层) "," 2001年建 "," 塔楼"
沙湖畔 万达御湖世家 精装三房 高层一线临湖,38412,710,1.8484E+02,万达御湖世家 ,3室2厅 ," 184.84平米 "," 北 南 "," 精装 "," 高楼层(共48层) "," 2014年建 "," 板楼"
小龟山地铁+楚河汉街商圈，闹钟取静。,29478,410,1.3909E+02,星海虹城 ,3室2厅 ," 139.09平米 "," 南 北 "," 精装 "," 中楼层(共12层) "," 2006年建 "," 板楼"
中北领寓 两房朝南采光好 阳台抵公摊 诚售 随时看房房主自荐,26312,146,5.549E+01,中北领寓 ,2室1厅 ," 55.49平米 "," 南 "," 简装 "," 中楼层(共25层) "," 2001年建 "," 塔楼"
大两房，单价低，看房方便，业主急售,27410,240,8.756E+01,中国铁建1818中心 ,2室2厅 ," 87.56平米 "," 东南 "," 简装 "," 中楼层(共43层) "," 2014年建 "," 板楼"
满两年，高楼层可以看湖！保养好！小区中间,35723,618,1.73E+02,汉街壹号公馆 ,3室2厅 ," 173平米 "," 南 北 "," 精装 "," 中楼层(共46层) "," 2015年建 "," 板楼"
万达旁 汉街地铁口 朝南采光好 中间楼层 满二税低,31713,420,1.3244E+02,安顺家园 ,3室2厅 ," 132.44平米 "," 南 "," 简装 "," 中楼层(共28层) "," 2008年建 "," 塔楼"
东湖熙园 2室1厅 252万,26020,252,9.685E+01,东湖熙园 ,2室1厅 ," 96.85平米 "," 南 "," 其他 "," 低楼层(共21层) "," 2008年建 "," 板楼"
汉街第三街区 环球国际 中 心精装两房公寓 业态丰富,19085,138,7.231E+01,环球国际中心 ,2室1厅 ," 72.31平米 "," 西 "," 精装 "," 高楼层(共30层) "," 2016年建 "," 板楼"
小龟山地铁口星海虹城精装三房，可拎包入住！房主自荐,27022,390,1.4433E+02,星海虹城 ,3室2厅 ," 144.33平米 "," 南 "," 精装 "," 低楼层(共18层) "," 2006年建 "," 板楼"
铁建1818两证满二，业主置换诚心卖，看房方便.采光好.,30836,270,8.756E+01,中国铁建1818中心 ,3室1厅 ," 87.56平米 "," 东 "," 简装 "," 高楼层(共43层) "," 2014年建 "," 板楼"
精装大四房，交通便利，融创旁，暖气房，人车分流,24898,370,1.4861E+02,星海虹城 ,4室2厅 ," 148.61平米 "," 南 "," 精装 "," 低楼层(共18层) "," 2006年建 "," 板楼"
中北路 楚河汉街 精装两房 满两年 税费少,28301,260,9.187E+01,广厦中北领秀小区 ,2室2厅 ," 91.87平米 "," 南 "," 精装 "," 中楼层(共15层) "," 2006年建 "," 塔楼"
四房三代同堂 阳光充足 南北通视野很好,22429,340,1.5159E+02,东湖熙园 ,4室2厅 ," 151.59平米 "," 南 北 "," 精装 "," 低楼层(共24层) "," 2008年建 "," 板楼"
安顺花园 电梯房 近万达 地铁2、4号线 南向不临街,23570,315,1.3364E+02,安顺花园 ,3室2厅 ," 133.65平米 "," 南 "," 简装 "," 低楼层(共12层) "," 2000年建 "," 塔楼"
满二年过户 诚意出售 拎包入住 带80平米露台,35130,678,1.93E+02,汉街壹号公馆 ,3室2厅 ," 193平米 "," 南 "," 精装 "," 低楼层(共47层) "," 2014年建 "," 板楼"
万达御湖世家 可看湖 四房带保姆间 阳台已封 有车位,36435,940,2.5799E+02,万达御湖世家 ,4室2厅 ," 258平米 "," 南 北 "," 其他 "," 低楼层(共48层) "," 2014年建 "," 板楼"
螃蟹岬  二号线  广电花园  楼梯房,22178,240,1.0822E+02,广电花园 ,2室2厅 ," 108.22平米 "," 南 北 "," 简装 "," 中楼层(共8层) "," 2005年建 "," 板楼"
安顺家园全明2房+新风空调+4阳台+暖气+万达汉街+地铁,29882,320,1.0709E+02,安顺家园 ,2室1厅 ," 107.09平米 "," 南 "," 精装 "," 高楼层(共18层) "," 2008年建 "," 塔楼"
中北路  安顺星苑 居家精装两房 房东诚心出售,29643,230,7.759E+01,安顺星苑 ,2室2厅 ," 77.59平米 "," 东北 "," 精装 "," 中楼层(共12层) "," 2003年建 "," 塔楼"
螃蟹岬地铁口 沙湖旁 毛坯通透三房 采光好 视野佳房主自荐,34205,445,1.301E+02,新长江香榭东沙 ,3室2厅 ," 130.1平米 "," 南 北 "," 毛坯 "," 高楼层(共32层) "," 2018年建 "," 板楼"
环球国际中心 1室1厅 86万,19798,86,4.344E+01,环球国际中心 ,1室1厅 ," 43.44平米 "," 南 "," 精装 "," 中楼层(共30层) "," 2016年建 "," 板楼"
洪山广场地铁口 居家精装 南北 产证满二 看房方便,22644,370,1.634E+02,楚天都市花园 ,4室2厅 ," 163.4平米 "," 东南 "," 精装 "," 中楼层(共32层) "," 2001年建 "," 板楼"
此房南北通户型，中高楼层采光很好，产证满二税少,21079,400,1.8976E+02,楚天都市花园 ,4室2厅 ," 189.77平米 "," 南 北 "," 简装 "," 高楼层(共32层) "," 2001年建 "," 板楼"
万达御湖世家 高楼层四房 奢靡装修 业主诚售 看房方便,39923,1030,2.58E+02,万达御湖世家 ,4室2厅 ," 258平米 "," 南 北 "," 其他 "," 高楼层(共48层) "," 2014年建 "," 板楼"
楚河汉街 正地铁口 安顺家园 南北通户型 诚心出售,30029,421,1.402E+02,安顺家园 ,4室2厅 ," 140.2平米 "," 南 北 "," 精装 "," 低楼层(共26层) "," 2008年建 "," 塔楼"
二号线小龟山站，中间楼层，采光好，诚心出售,28951,419,1.4473E+02,星海虹城 ,3室2厅 ," 144.73平米 "," 南 北 "," 精装 "," 中楼层(共18层) "," 2006年建 "," 板楼"
澜桥一期大平层  仅此一套满两年 180度湖景尽收眼底,39262,900,2.2923E+02,福星惠誉水岸国际澜桥公馆 ,4室2厅 ," 229.23平米 "," 南 北 "," 毛坯 "," 中楼层(共55层) "," 2016年建 "," 板楼"
汉街地铁口 朝南大两房 低楼层 证满 税低 诚售,29344,290,9.883E+01,安顺家园 ,2室2厅 ," 98.83平米 "," 南 "," 精装 "," 低楼层(共18层) "," 2008年建 "," 塔楼"
武昌楚河汉街旁湖景通透大3房，诚售,14797,172,1.1624E+02,九天公寓 ,3室1厅 ," 116.24平米 "," 南 "," 简装 "," 中楼层(共9层)  ",无," 塔楼"
小龟山地铁口  省图书馆  星海虹城一期  居家装修,29775,553,1.8573E+02,星海虹城 ,4室2厅 ," 185.73平米 "," 南 北 "," 精装 "," 中楼层(共18层) "," 2006年建 "," 板楼"
安顺花园，南北通透，三房二厅二卫，采光好诚心出售,25768,330,1.2807E+02,安顺花园 ,3室2厅 ," 128.07平米 "," 南 北 "," 其他 "," 高楼层(共12层) "," 2000年建 "," 塔楼"
安顺家园 精致三房 居家装修 两证满五 诚意出售,25932,330,1.2726E+02,安顺家园 ,3室1厅 ," 127.26平米 "," 南 北 "," 简装 "," 低楼层(共22层) "," 2008年建 "," 塔楼"
星海虹城 地铁口 带大露台 集中暖气,28957,468,1.6162E+02,星海虹城 ,4室2厅 ," 161.62平米 "," 南 "," 其他 "," 低楼层(共18层) "," 2006年建 "," 板楼"
二号线小龟山地铁站，视野好，户型通透，诚心出售,18642,186,9.977E+01,彩电中心 ,3室2厅 ," 99.78平米 "," 南 北 "," 简装 "," 高楼层(共7层) "," 2003年建 "," 板楼"
洪山广场四号八号双地铁交汇楚天都市花园精致四房,25813,412,1.5961E+02,楚天都市花园 ,4室2厅 ," 159.61平米 "," 南 "," 精装 "," 低楼层(共32层) "," 2001年建 "," 板楼"
汉街地铁口 中高楼层 采光好 产证满二 诚心卖,30511,290,9.505E+01,安顺家园 ,3室2厅 ," 95.05平米 "," 南 "," 精装 "," 中楼层(共18层) "," 2008年建 "," 塔楼"
万达汉街壹号公馆 豪 装 肆房  一览全汉街！满二年！,37563,900,2.396E+02,汉街壹号公馆 ,4室2厅 ," 239.6平米 "," 南 "," 精装 "," 低楼层(共47层) "," 2014年建 "," 板楼"
体育馆路1到100号 3室2厅 280万,24203,280,1.1569E+02,体育馆路1到100号 ,3室2厅 ," 115.69平米 "," 南 "," 精装 "," 高楼层(共6层) "," 1998年建 "," 塔楼"
广电花园 3室2厅 200万,18904,200,1.058E+02,广电花园 ,3室2厅 ," 105.8平米 "," 东南 "," 其他 "," 高楼层(共8层)  ",无," 暂无数据"
汉街地铁口 朝南大两居 满五唯一 看房方便 诚心出售,26591,260,9.778E+01,安顺家园 ,2室2厅 ," 97.78平米 "," 南 "," 精装 "," 低楼层(共18层) "," 2008年建 "," 塔楼"
小区中间楼栋，中间楼层精装修，满两年，业主诚心,33015,235,7.118E+01,中国铁建1818中心 ,2室1厅 ," 71.18平米 "," 南 "," 精装 "," 低楼层(共30层) "," 2014年建 "," 板楼"
万达 独梯独户 中高层不临街 满五年 精装修,30993,320,1.0325E+02,安顺家园 ,2室2厅 ," 103.25平米 "," 南 "," 精装 "," 中楼层(共22层) "," 2008年建 "," 塔楼"
小龟山地铁口 广播电视台宿舍  中间楼层3房  诚心出售,19000,190,1E+02,彩电中心 ,3室1厅 ," 100平米 "," 北 南 "," 简装 "," 中楼层(共7层) "," 2003年建 "," 板楼"
澜桥公馆一期毛坯四房 无贷 证满两年 一线观湖有钥匙,37348,850,2.2759E+02,福星惠誉水岸国际澜桥公馆 ,4室1厅 ," 227.59平米 "," 南 北 "," 毛坯 "," 低楼层(共55层) "," 2016年建 "," 板楼"
汉街地铁口 中高楼层 大2房 产证满二税低 诚心出售,31536,300,9.513E+01,安顺家园 ,2室2厅 ," 95.13平米 "," 南 "," 精装 "," 高楼层(共18层) "," 2008年建 "," 塔楼"
中高层 随时看房  新房交付 未入住 楚河汉街 不临街,33147,650,1.961E+02,汉街壹号公馆 ,3室2厅 ," 196.1平米 "," 南 北 "," 精装 "," 中楼层(共46层) "," 2017年建 "," 板楼"
澜桥公馆精装两房 户型方正 南北朝向,29609,257,8.68E+01,福星惠誉水岸国际澜桥公馆 ,2室1厅 ," 86.8平米 "," 东南 "," 精装 "," 低楼层(共55层) "," 2016年建 "," 板楼"
楚河汉街 广厦中北领寓 两房 两证两年,27201,225,8.272E+01,中北领寓 ,2室2厅 ," 82.72平米 "," 南 "," 简装 "," 高楼层(共25层) "," 2001年建 "," 塔楼"
安顺家园，高层大户型，可看沙湖，中北路万达广场旁,32650,490,1.5008E+02,安顺家园 ,2室2厅 ," 150.08平米 "," 东南 "," 精装 "," 高楼层(共28层) "," 2008年建 "," 塔楼"
交通便利，出行方便，业主诚心出售,20187,210,1.0403E+02,广电花园 ,2室2厅 ," 104.03平米 "," 南 北 "," 简装 "," 中楼层(共8层) "," 2005年建 "," 板楼"
汉街 中北领寓 中高楼层 西南向 精装两房 湖景,25914,210,8.104E+01,中北领寓 ,2室1厅 ," 81.04平米 "," 西南 "," 精装 "," 高楼层(共25层) "," 2001年建 "," 塔楼"
万达御湖楼尊 前排306 主卧看汉街 前排全湖景,49012,1500,3.0605E+02,万达御湖世家 ,4室2厅 ," 306.05平米 "," 西北 "," 精装 "," 高楼层(共52层) "," 2016年建 "," 板楼"
洪山广场地铁口大两房产证满五看房方便诚心出售,29944,346,1.1555E+02,香格里嘉园 ,2室2厅 ," 115.55平米 "," 南 北 "," 简装 "," 低楼层(共23层) "," 2002年建 "," 塔楼"
精装两居室对小区花园不 临街，好格局分布合理实用。,31579,300,9.5E+01,安顺家园 ,2室2厅 ," 95平米 "," 南 "," 简装 "," 低楼层(共22层) "," 2008年建 "," 塔楼"
汉街万达旁 中北领寓 大两房 高楼层 看湖视野好,26382,200,7.581E+01,中北领寓 ,2室2厅 ," 75.81平米 "," 南 "," 其他 "," 高楼层(共25层) "," 2009年建 "," 塔楼"
楚河汉街 正地铁口 居家装修 诚心在售,30393,310,1.02E+02,安顺星苑 ,2室2厅 ," 102平米 "," 南 北 "," 精装 "," 低楼层(共12层) "," 2003年建 "," 塔楼"
楚河汉街，地铁口，一室一厅，居家装修，看房方便,31186,150,4.81E+01,中国铁建1818中心 ,1室1厅 ," 48.1平米 "," 南 "," 其他 "," 低楼层(共33层) "," 2014年建 "," 板楼"
汉街商圈 地铁口精装大两房 生活便利 证满诚售,30166,300,9.945E+01,安顺星苑 ,2室2厅 ," 99.45平米 "," 南 "," 精装 "," 中楼层(共12层) "," 2003年建 "," 塔楼"
中北领寓 楚河汉街 经典两房户型,27394,222,8.104E+01,中北领寓 ,2室1厅 ," 81.04平米 "," 西 "," 精装 "," 中楼层(共25层) "," 2009年建 "," 塔楼"
安顺朝南大2两房，精装修，看湖景，诚售,31554,325,1.03E+02,安顺家园 ,2室2厅 ," 103平米 "," 南 "," 精装 "," 高楼层(共22层) "," 2008年建 "," 塔楼"
楚河汉街站，中高楼层采光明亮，业主诚心出售,23426,180,7.684E+01,景天楼 ,2室1厅 ," 76.84平米 "," 南 "," 其他 "," 中楼层(共19层) "," 2008年建 "," 板塔结合"
万达御湖世家行政公馆 1室1厅 200万,31696,200,6.31E+01,万达御湖世家行政公馆 ,1室1厅 ," 63.1平米 "," 南 北 "," 其他 "," 中楼层(共17层) "," 2018年建 "," 塔楼"
楚河汉街万达精装修南北通透三房，可以看沙湖,34101,600,1.7595E+02,汉街壹号公馆 ,3室2厅 ," 175.95平米 "," 南 北 "," 精装 "," 高楼层(共46层) "," 2015年建 "," 板楼"
一线湖景  香榭东沙  南北通透 地铁口 带地暖房主自荐,30870,565,1.8303E+02,新长江香榭东沙 ,4室2厅 ," 183.03平米 "," 南 北 "," 毛坯 "," 高楼层(共22层) "," 2018年建 "," 板楼"
沙湖畔 万达御湖世家 精装三房 满两年 诚心卖,38973,710,1.8218E+02,万达御湖世家 ,3室2厅 ," 182.18平米 "," 南 北 "," 精装 "," 低楼层(共48层) "," 2014年建 "," 板楼"
万达御湖世家 精装四房 一线临湖 未住人,47620,1200,2.5199E+02,万达御湖世家 ,4室2厅 ," 252平米 "," 南 北 "," 精装 "," 低楼层(共52层) "," 2016年建 "," 板楼"
南北通透大四房，纯毛坯，集中暖气房,29827,495,1.6596E+02,星海虹城 ,4室2厅 ," 165.96平米 "," 南 北 "," 毛坯 "," 低楼层(共18层) "," 2006年建 "," 板楼"
万达御湖世家 精装四房 一线临湖 诚心出售,45019,1380,3.0654E+02,万达御湖世家 ,4室2厅 ," 306.54平米 "," 北 南 "," 精装 "," 中楼层(共52层) "," 2015年建 "," 板楼"
洪山广场家乐福旁建材建筑设计院单位框架三房,27711,345,1.245E+02,姚家岭1到1000号 ,3室2厅 ," 124.5平米 "," 南 "," 精装 "," 高楼层(共8层) "," 2000年建 "," 塔楼"
带26平大花园，满五唯一，南北通透大三房，随时看房,22161,280,1.2635E+02,阳光水岸 ,3室2厅 ," 126.35平米 "," 南 北 "," 精装 "," 低楼层(共12层)  ",无," 板楼"
大两房，单价低，看房方便，业主急售,30402,300,9.868E+01,中国铁建1818中心 ,2室1厅 ," 98.68平米 "," 南 "," 其他 "," 中楼层(共43层) "," 2014年建 "," 板楼"
楚河汉街精装大四房，采光充足小区中间通透+车位,24434,374,1.5307E+02,安顺星苑 ,4室1厅 ," 153.07平米 "," 东南 "," 精装 "," 高楼层(共12层) "," 2003年建 "," 塔楼"
安顺星苑 精装三房 不临街 诚心出售,26025,369,1.4179E+02,安顺星苑 ,3室1厅 ," 141.79平米 "," 南 北 "," 简装 "," 低楼层(共12层) "," 2003年建 "," 塔楼"
星海大三房，南北通透，次顶楼无遮挡，有车位。,29850,570,1.9095E+02,星海虹城 ,3室1厅 ," 190.96平米 "," 南 北 "," 精装 "," 高楼层(共32层) "," 2012年建 "," 板楼"
南北通透  正看汉街 带全新家具家电  诚意出售,38861,750,1.93E+02,汉街壹号公馆 ,3室2厅 ," 193平米 "," 南 北 "," 精装 "," 高楼层(共46层) "," 2016年建 "," 板楼"
一线湖景房 自住装修 安静不临街,46628,1160,2.4878E+02,万达御湖世家 ,4室2厅 ," 248.78平米 "," 南 北 "," 精装 "," 低楼层(共52层) "," 2015年建 "," 板楼"
汉街壹号公馆，两证满两年，无增值税，观一线汉街风景,37824,730,1.93E+02,汉街壹号公馆 ,3室2厅 ," 193平米 "," 南 北 "," 精装 "," 高楼层(共47层) "," 2014年建 "," 板楼"
汉街南北通透两居，中间楼层，过户费用低,31699,320,1.0095E+02,万达御湖世家行政公馆 ,2室2厅 ," 100.95平米 "," 南 北 "," 精装 "," 中楼层(共17层) "," 2016年建 "," 塔楼"
楚天都市花园四房出售，朝南的户型，全框架穿透结构,27976,456,1.63E+02,楚天都市花园 ,4室2厅 ," 163平米 "," 东南 南 西 "," 其他 "," 高楼层(共32层) "," 2001年建 "," 板楼"
壹号公馆大三房 基本未住 带全新家具 出国急售,34905,690,1.9768E+02,汉街壹号公馆 ,3室2厅 ," 197.68平米 "," 南 北 "," 精装 "," 低楼层(共46层) "," 2015年建 "," 板楼"
后排高层一览沙湖美景 汉街壹号公馆精装三房 诚售,36374,640,1.7595E+02,汉街壹号公馆 ,3室2厅 ," 175.95平米 "," 南 北 "," 精装 "," 高楼层(共46层) "," 2015年建 "," 板楼"
此房两证满了五年，业主自住装修，卖房诚心,30884,400,1.2952E+02,安顺家园 ,3室1厅 ," 129.52平米 "," 南 "," 精装 "," 中楼层(共18层) "," 2008年建 "," 塔楼"
阳光水岸 3室2厅 280万,22161,280,1.2635E+02,阳光水岸 ,3室2厅 ," 126.35平米 "," 东南 "," 精装 "," 低楼层(共11层) "," 2000年建 "," 板楼"
沙湖边 澜桥公馆朝南两房 纯毛坯 可看湖 诚心出售,31035,265,8.539E+01,福星惠誉水岸国际澜桥公馆 ,2室1厅 ," 85.39平米 "," 南 "," 简装 "," 低楼层(共55层) "," 2016年建 "," 板楼"
螃蟹岬地铁口 香榭东沙 毛坯三房 视野开阔,29808,310,1.04E+02,新长江香榭东沙 ,3室2厅 ," 104平米 "," 南 北 "," 毛坯 "," 高楼层(共32层) "," 2018年建 "," 板楼"
汉街旁 领寓 高楼层 湖景两居室 东南向，精装修 证满,26473,200,7.555E+01,中北领寓 ,2室1厅 ," 75.55平米 "," 东南 "," 精装 "," 高楼层(共25层) "," 2001年建 "," 塔楼"
楚河汉街精装中间楼层采光好的两房,27207,201,7.388E+01,中国铁建1818中心 ,2室1厅 ," 73.88平米 "," 东南 "," 精装 "," 中楼层(共24层) "," 2014年建 "," 板楼"
星海虹城四期鸿玺御园 4室2厅 504万,30086,504,1.6752E+02,星海虹城四期鸿玺御园 ,4室2厅 ," 167.52平米 "," 南 "," 毛坯 "," 中楼层(共32层)  ",无," 塔楼"
汉街地铁口 中高楼层，采光好 满二税低 诚心出售,32350,239,7.388E+01,中国铁建1818中心 ,2室1厅 ," 73.88平米 "," 南 "," 简装 "," 中楼层(共24层) "," 2014年建 "," 板楼"
万达御湖公馆 城市之心 精装修好房  高层采光好,35511,398,1.1208E+02,万达御湖世家行政公馆 ,3室2厅 ," 112.08平米 "," 南 "," 精装 "," 高楼层(共17层) "," 2018年建 "," 板楼"
沙湖旁 朝南两房户型 一线临湖 随时看房 拎包即住,40784,350,8.582E+01,福星惠誉水岸国际澜桥公馆 ,2室1厅 ," 85.82平米 "," 南 "," 其他 "," 低楼层(共55层) "," 2016年建 "," 板楼"
此房朝南采光好，视野开阔，可以看沙湖，内环公寓,18889,137,7.253E+01,环球国际中心 ,2室1厅 ," 72.53平米 "," 西南 "," 其他 "," 高楼层(共30层) "," 2016年建 "," 塔楼"
洪山广场 闹中取静 看房方便 交通便利 单位房,24732,230,9.3E+01,体育馆路12号 ,2室1厅 ," 93平米 "," 南 "," 其他 "," 高楼层(共8层)  ",无," 板楼"
汉街地铁口 温馨小户型 总价低 高层 东南向看东湖,25952,105,4.046E+01,中北领寓 ,1室1厅 ," 40.46平米 "," 东南 "," 精装 "," 高楼层(共25层) "," 2001年建 "," 塔楼"
阳光水岸 3室2厅 235万,23958,235,9.809E+01,阳光水岸 ,3室2厅 ," 98.09平米 "," 南 北 "," 其他 "," 中楼层(共11层) "," 2000年建 "," 板楼"
业主诚心出售 两证两年 小高层 精装修,23021,310,1.3466E+02,阳光水岸 ,3室2厅 ," 134.66平米 "," 南 北 "," 精装 "," 低楼层(共11层) "," 2000年建 "," 板楼"
2号线 螃蟹岬地铁站 南北朝向,19034,200,1.0508E+02,广电花园 ,2室1厅 ," 105.08平米 "," 南 北 "," 其他 "," 中楼层(共8层) "," 2003年建 "," 暂无数据"
楚河汉街地铁口 安顺星苑精装暖气三房 另有字母车位,28838,400,1.3871E+02,安顺星苑 ,3室1厅 ," 138.71平米 "," 南 北 "," 其他 "," 中楼层(共12层) "," 2003年建 "," 塔楼"
精装修 南北通透 户型方正 拎包入住 万达商圈,32294,326,1.0095E+02,万达御湖世家行政公馆 ,2室2厅 ," 100.95平米 "," 南 北 "," 精装 "," 中楼层(共17层) "," 2016年建 "," 塔楼"
满五唯一，南北双阳台，全明通透,27651,428,1.5479E+02,星海虹城 ,4室2厅 ," 154.79平米 "," 南 北 "," 精装 "," 高楼层(共18层) "," 2006年建 "," 板楼"
万达旁，安顺星苑，南北通透3房，满2年，视野好诚心卖,26035,360,1.3828E+02,安顺星苑 ,3室2厅 ," 138.28平米 "," 南 北 "," 精装 "," 中楼层(共12层) "," 2003年建 "," 塔楼"
地铁二号线，小龟山站，南北通透，精装四房来电即看！,19150,255,1.3316E+02,彩电中心 ,4室2厅 ," 133.16平米 "," 南 北 "," 精装 "," 高楼层(共7层) "," 2003年建 "," 板楼"
汉街边 同成富苑 精装三房保养好 证满两年 诚心出售,22029,245,1.1122E+02,同成富苑 ,3室2厅 ," 111.22平米 "," 南 "," 精装 "," 中楼层(共28层) "," 2002年建 "," 塔楼"
